Geneid	NSZXO	NWPUN	NWPUO	NSZXP	NSZXS	NSZXT	NSZXU	NSZXW	NSZXX	NSZXY	NSZXZ	NSZYA	NSZYB	NSZYC	NSZYG	NSZYH	NSZYN	NSZYO	NSZYP	NSZYS	NSZYT	NSZYU	NSZYW	NSZYX	NSZYY	NSZYZ	NSZZA	NSZZB	NSZZC	NSZZG	NSZZH	NSZZN	NSZZO	NSZZP	NSZZS	NSZZT	NSZZU	NSZZW	NSZZX	NSZZY	NSZZZ	NTAAA	NTAAB	NTAAC	NTAAG	NTAAH	NTAAN	NTAAO
gene_1	11.83	12.58	12.94	7.12	10.42	6.86	16.17	12.05	15.26	16.48	18.40	18.59	19.03	21.28	20.76	13.25	13.34	12.31	19.22	17.86	16.87	15.57	13.96	14.12	22.24	8.35	9.58	7.24	4.71	5.21	3.47	3.12	4.29	6.73	8.98	8.69	15.93	14.67	14.58	8.08	5.73	7.00	8.44	7.53	6.03	8.53	7.30	7.80
gene_10	1.54	4.14	4.29	2.48	3.39	2.11	7.06	7.72	8.82	1.51	0.84	1.38	1.14	1.03	1.06	1.56	1.05	1.17	6.38	5.99	7.30	1.65	1.63	1.92	0.26	0.09	0.40	0.78	0.31	0.38	0.76	0.38	0.16	0.18	0.12	0.51	0.25	0.36	0.37	0.25	0.44	0.57	1.48	1.56	1.59	0.43	0.42	0.25
gene_100	16.85	22.49	17.18	5.92	2.57	6.60	11.82	17.03	15.55	12.16	10.03	12.22	10.43	6.76	9.65	3.92	3.66	3.56	10.81	9.31	8.82	14.45	12.20	14.10	12.91	9.12	7.56	10.73	4.85	4.80	2.38	1.50	1.38	11.13	13.33	15.14	7.49	12.18	13.71	4.95	9.48	7.93	7.01	7.46	9.13	12.71	9.33	7.97
gene_1000	0.72	1.41	1.84	0.69	1.35	0.79	2.37	3.35	2.53	2.90	2.62	3.49	0.76	0.90	1.25	0.88	0.82	0.87	3.79	2.50	2.73	5.33	4.74	5.40	1.08	0.71	1.00	0.73	0.26	1.14	1.65	0.70	1.06	3.51	3.39	3.00	1.29	1.34	1.01	0.47	0.55	1.09	1.06	1.23	2.11	3.64	5.57	4.16
gene_10000	3.03	3.98	4.95	5.16	11.43	4.77	10.00	8.33	9.21	9.42	9.04	10.18	3.91	4.01	3.76	4.54	4.03	4.80	14.02	12.48	12.32	8.63	7.74	7.61	2.28	2.45	2.40	2.97	2.92	2.69	8.14	4.75	6.13	3.02	4.43	5.40	2.92	2.32	2.59	3.52	3.43	3.94	6.52	5.02	4.62	3.83	2.77	2.48
gene_10001	8.88	8.09	11.07	6.37	7.84	6.82	30.35	31.61	30.54	16.19	15.98	14.48	8.40	10.27	9.52	8.61	8.17	9.57	41.61	38.47	40.02	25.63	25.42	21.27	15.19	15.00	14.46	9.86	12.09	10.54	21.11	15.18	12.80	26.16	23.78	25.32	13.63	16.52	15.35	10.39	10.20	12.37	27.32	29.86	31.74	27.06	25.71	23.89
gene_10002	369.98	435.41	442.50	289.95	325.29	291.30	188.84	191.87	192.37	421.81	426.44	439.60	255.37	253.21	255.19	258.55	249.17	255.19	236.18	233.80	246.14	355.44	312.85	325.91	188.94	246.93	240.87	147.33	216.54	212.33	116.25	91.89	103.40	235.49	266.00	316.13	170.23	167.91	173.54	152.78	127.07	154.60	191.15	203.22	270.57	209.95	158.97	141.47
gene_10003	11.70	11.34	10.52	1.82	2.18	1.83	6.62	5.78	6.92	19.49	21.92	18.83	11.58	11.92	12.47	3.35	3.93	4.10	10.85	10.24	11.12	18.91	18.43	21.98	5.07	8.30	8.78	1.01	1.92	2.65	3.03	2.40	3.44	13.01	18.47	20.40	7.60	6.51	6.53	2.04	1.51	1.98	4.23	5.41	7.58	13.41	10.38	11.15
gene_10005	2.19	3.96	6.11	0.73	1.81	1.01	3.52	2.95	4.32	1.60	2.49	1.97	1.93	1.29	3.05	0.62	0.56	1.05	3.75	3.80	3.69	0.90	1.71	2.67	1.11	1.23	1.32	0.20	0.30	0.43	2.61	0.95	1.33	0.98	1.58	1.94	1.00	1.53	1.10	0.21	0.46	0.85	2.50	1.54	2.32	0.53	1.20	0.80
gene_10006	2.15	3.08	3.08	2.63	8.14	2.70	7.97	6.07	8.16	1.93	2.09	2.20	2.43	1.74	2.49	2.68	2.15	2.78	9.13	7.57	8.25	2.81	2.41	2.65	0.81	0.80	0.72	0.33	0.38	0.48	3.33	1.50	2.77	0.72	0.86	1.41	0.87	0.92	0.95	0.50	0.43	0.58	4.22	3.17	4.46	0.87	0.66	0.57
gene_10008	7.03	4.16	5.34	26.52	71.75	31.40	124.24	75.07	112.41	25.77	27.33	26.21	8.50	8.02	10.62	31.51	31.40	40.33	166.92	121.31	149.78	32.23	39.47	36.73	17.68	15.50	15.35	14.88	21.03	17.77	76.79	50.15	53.90	25.23	40.07	34.95	16.80	19.83	19.13	24.91	34.57	37.18	45.59	38.66	41.01	21.42	19.70	23.94
